Date,Open,High,Low,Close,Adj Close,Volume
2011-11-16,127500.000000,129000.000000,121500.000000,122000.000000,114103.046875,744541
2011-11-17,123000.000000,125500.000000,121000.000000,125500.000000,117376.500000,304234
2011-11-18,122000.000000,122500.000000,119500.000000,121500.000000,113635.406250,449938
2011-11-21,120000.000000,121000.000000,115500.000000,119500.000000,111764.875000,343629
2011-11-22,117000.000000,124500.000000,116500.000000,123500.000000,115505.960938,382361
2011-11-23,123000.000000,124000.000000,120000.000000,120500.000000,112700.148438,252542
2011-11-24,120000.000000,124000.000000,120000.000000,123000.000000,115038.328125,234606
2011-11-25,122000.000000,124500.000000,119000.000000,122500.000000,114570.679688,296789
2011-11-28,126000.000000,127000.000000,124500.000000,127000.000000,118779.406250,364546
2011-11-29,127500.000000,132500.000000,126500.000000,131500.000000,122988.125000,700646
2011-11-30,131000.000000,137500.000000,130000.000000,133500.000000,124858.664063,565110
2011-12-01,140000.000000,140500.000000,137000.000000,139000.000000,130002.648438,598180
2011-12-02,138000.000000,142000.000000,137000.000000,141000.000000,131873.203125,300987
2011-12-05,141500.000000,142500.000000,139000.000000,141500.000000,132340.812500,198498
2011-12-06,140000.000000,140500.000000,132500.000000,133500.000000,124858.664063,550972
2011-12-07,134500.000000,139500.000000,133500.000000,139500.000000,130470.296875,491170
2011-12-08,137500.000000,139000.000000,136000.000000,136500.000000,127664.492188,309739
2011-12-09,133500.000000,140500.000000,131000.000000,140000.000000,130937.890625,450834
2011-12-12,143000.000000,150000.000000,142500.000000,149500.000000,139823.000000,892579
2011-12-13,148500.000000,153000.000000,147500.000000,148500.000000,138887.703125,545978
2011-12-14,146000.000000,146000.000000,141000.000000,144000.000000,134679.015625,426622
2011-12-15,139500.000000,141000.000000,136000.000000,137500.000000,128599.734375,417030
2011-12-16,139000.000000,140000.000000,134000.000000,139000.000000,130002.648438,431765
2011-12-19,136500.000000,137500.000000,128000.000000,130500.000000,122052.851563,594364
2011-12-20,132500.000000,133500.000000,130500.000000,132500.000000,123923.398438,266455
2011-12-21,136500.000000,137000.000000,135000.000000,135500.000000,126729.210938,286951
2011-12-22,134500.000000,137500.000000,133500.000000,135000.000000,126261.554688,153570
2011-12-23,136500.000000,137000.000000,133500.000000,134000.000000,125326.304688,306303
2011-12-26,135000.000000,135500.000000,132500.000000,133000.000000,124391.031250,137420
2011-12-27,132500.000000,134000.000000,130000.000000,132500.000000,123923.398438,369923
2011-12-28,133000.000000,136000.000000,132000.000000,134000.000000,126761.335938,242425
2011-12-29,132500.000000,136000.000000,132500.000000,133500.000000,126288.343750,312553
2012-01-02,135000.000000,139000.000000,135000.000000,137500.000000,130072.257813,293020
2012-01-03,138500.000000,141000.000000,137500.000000,141000.000000,133383.218750,319240
2012-01-04,141000.000000,141000.000000,138000.000000,138500.000000,131018.242188,227417
2012-01-05,139000.000000,140000.000000,133000.000000,134000.000000,126761.335938,705330
2012-01-06,134500.000000,134500.000000,131000.000000,134500.000000,127234.320313,414026
2012-01-09,134500.000000,134500.000000,132000.000000,132500.000000,125342.367188,225492
2012-01-10,133000.000000,134500.000000,132000.000000,133500.000000,126288.343750,380754
2012-01-11,133000.000000,133500.000000,130500.000000,131500.000000,124396.390625,372550
2012-01-12,131000.000000,134000.000000,131000.000000,133000.000000,125815.351563,321286
2012-01-13,132500.000000,134000.000000,130500.000000,131000.000000,123923.398438,427470
2012-01-16,130000.000000,132000.000000,128000.000000,129500.000000,122504.429688,390589
2012-01-17,130000.000000,131500.000000,127000.000000,128500.000000,121558.445313,709059
2012-01-18,128500.000000,131000.000000,128000.000000,129000.000000,122031.437500,342940
2012-01-19,131000.000000,135500.000000,130000.000000,135500.000000,128180.312500,1015520
2012-01-20,136000.000000,139000.000000,135500.000000,138500.000000,131018.242188,832341
2012-01-25,139000.000000,143000.000000,138000.000000,141500.000000,133856.171875,736990
2012-01-26,142500.000000,145000.000000,140000.000000,144500.000000,136694.156250,726161
2012-01-27,143500.000000,145000.000000,141500.000000,144500.000000,136694.156250,308918
2012-01-30,142000.000000,144000.000000,139500.000000,140500.000000,132910.203125,418648
2012-01-31,141500.000000,143000.000000,138000.000000,139500.000000,131964.234375,486908
2012-02-01,141000.000000,146500.000000,140500.000000,145000.000000,137167.109375,613877
2012-02-02,147000.000000,149500.000000,143000.000000,144500.000000,136694.156250,801870
2012-02-03,145000.000000,145500.000000,140000.000000,142500.000000,134802.171875,478339
2012-02-06,144500.000000,146500.000000,141500.000000,143000.000000,135275.156250,457930
2012-02-07,142500.000000,144500.000000,140500.000000,141500.000000,133856.171875,326450
2012-02-08,140000.000000,148000.000000,139500.000000,146000.000000,138113.109375,758795
2012-02-09,146000.000000,150500.000000,144500.000000,150500.000000,142370.015625,683850
2012-02-10,151000.000000,153000.000000,150000.000000,151500.000000,143316.000000,567512
2012-02-13,150500.000000,154000.000000,149000.000000,153000.000000,144734.953125,441278
2012-02-14,154000.000000,154500.000000,152000.000000,153000.000000,144734.953125,335434
2012-02-15,150000.000000,151000.000000,143000.000000,147500.000000,139532.078125,1070533
2012-02-16,146000.000000,147500.000000,142000.000000,142000.000000,134329.187500,546226
2012-02-17,144500.000000,145500.000000,141500.000000,144000.000000,136221.140625,574339
2012-02-20,144000.000000,145500.000000,138500.000000,141500.000000,133856.171875,747593
2012-02-21,140000.000000,142000.000000,139000.000000,141500.000000,133856.171875,395997
2012-02-22,141500.000000,141500.000000,137000.000000,138000.000000,130545.265625,607480
2012-02-23,137000.000000,140000.000000,134000.000000,136500.000000,129126.296875,542788
2012-02-24,137000.000000,141000.000000,136000.000000,141000.000000,133383.218750,484123
2012-02-27,141500.000000,142500.000000,137000.000000,138000.000000,130545.265625,358509
2012-02-28,138000.000000,139000.000000,135000.000000,139000.000000,131491.234375,331528
2012-02-29,139000.000000,141500.000000,138000.000000,138000.000000,130545.265625,424400
2012-03-02,139500.000000,142000.000000,139000.000000,141000.000000,133383.218750,415351
2012-03-05,140000.000000,141000.000000,135500.000000,138500.000000,131018.242188,375561
2012-03-06,137500.000000,139500.000000,137000.000000,138500.000000,131018.242188,196100
2012-03-07,136000.000000,138000.000000,136000.000000,136000.000000,128653.304688,254516
